resource_type,mark,availability_domain,compartment_id,display_name,id,lifecycle_state,capacity_reservation_id,region,shape,shape_config.memory_in_gbs,shape_config.ocpus,shape_config.local-disks-total-size-in-gbs,shape_config.local-disk-description,vpus_per_gb,size_in_gbs,is_hydrated,is_auto_tune_enabled
instance,20220320-1211,EcFq:EU-FRANKFURT-1-AD-3,ocid1.compartment.oc1..aaaaaaaau4ttkb5apoba5jryfdirpvgrjftslcsafvuko3gz5cs5bo36xzba,instance-20220317-1857,ocid1.instance.oc1.eu-frankfurt-1.antheljrenqmchqcpztrfrfvd7kpcobtg3ief7yep5k3uztxpnblpk4gde4q,RUNNING,,eu-frankfurt-1,VM.Standard.E4.Flex,16.0,1.0,,,,,,
bootvolume,20220320-1211,EcFq:EU-FRANKFURT-1-AD-3,ocid1.compartment.oc1..aaaaaaaau4ttkb5apoba5jryfdirpvgrjftslcsafvuko3gz5cs5bo36xzba,instance-20220317-1857 (Boot Volume),ocid1.bootvolume.oc1.eu-frankfurt-1.abtheljreefrwbhmgeefjbwf7aiaymjzrwr4wjbkjugf5m7m4ws7rv6gqhha,AVAILABLE,,,,,,,,10,47,True,False
